;source;target;weight
0;lt;sv3;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;game_score;op1;True
5;op1;score_a;True
6;op3;op4;True
7;op4;op5;True
8;op5;sv2;True
9;op6;op1;True
10;sv1;op1;True
11;sv1;op2;True
12;sv1;sv2;True
13;sv1;sv3;True
14;sv1;score_d;True
15;sv2;op1;True
16;sv2;op2;True
17;sv2;op6;True
18;sv2;score_a;True
19;sv3;op3;True
20;sv3;op5;True
21;sv4;op4;True
22;sv4;op6;True
23;sv5;op1;True
24;sv5;op2;True
25;sv5;op5;True
26;sv5;sv6;True
27;sv6;op6;True
28;sv6;sv2;True
29;sv6;programa;True
30;score;score_p;True
31;score_a;score;True
32;score_a;score_d;True
33;score_p;op2;True
34;score_d;score_p;True
35;score_d;score_s;True
36;programa;op1;True
37;sol1;estado;True
38;estado;op1;True
39;estado;op2;True
40;estado;op5;True
41;estado;op6;True
42;estado;sv2;True
43;estado;sv4;True
44;estado;sv6;True
45;estado;score_a;True
46;estado;programa;True
